pH,EC,Organic Carbon(OC),Available Nitrogen(N),Available Phosphorus(P),Available Potassium(K),Available Sulphur(S),Available Zinc(Zn),Available Boron(B),Available Iron(Fe),Available Manganese(Mn),Available Copper(Cu),Fertility
8.7,0.62,0.68,129.0,7.8,480.0,5.0,0.29,0.38,1.79,0.1,0.29,0.0
8.42,0.82,0.29,280.0,7.77,290.0,5.07,0.11,0.11,1.82,0.15,0.95,0.0
8.35,0.18,0.72,250.0,8.45,198.0,6.99,0.29,0.29,1.79,0.08,0.77,0.0
8.0,0.92,0.68,192.0,9.45,225.0,7.89,0.35,0.41,1.0,0.1,0.69,0.0
8.07,0.72,0.29,199.0,9.1,177.0,7.2,0.47,0.47,1.9,0.18,0.11,0.0
8.09,0.65,0.38,207.0,10.45,189.0,7.22,0.18,0.29,1.9,0.12,0.29,0.0
8.11,0.48,0.42,211.0,9.48,179.0,7.05,0.7,0.35,1.11,0.75,0.38,0.0
8.7,0.92,0.68,218.0,10.48,188.0,8.08,0.2,0.43,1.79,0.29,0.48,0.0
8.29,0.79,0.7,210.0,11.48,192.0,7.99,0.79,0.11,1.0,0.75,0.72,1.0
8.1,0.18,0.18,190.0,4.18,450.0,6.49,0.08,0.11,1.11,0.79,0.69,0.0
8.18,0.45,0.29,225.0,5.92,320.0,7.07,0.07,0.47,1.75,0.82,0.78,0.0
8.29,0.29,0.42,192.0,10.11,180.0,6.42,0.01,0.2,1.01,0.71,0.47,0.0
8.45,0.75,0.35,250.0,10.45,190.0,5.49,0.05,0.48,1.7,0.79,0.52,0.0
8.2,0.82,0.41,129.0,1195.0,290.0,8.1,0.1,0.4,1.11,0.41,0.12,0.0
8.12,0.79,0.38,145.0,12.1,140.0,7.78,0.15,0.22,1.1,0.35,0.18,0.0
8.07,0.8,0.42,129.0,14.11,120.0,6.49,0.18,0.29,1.07,0.48,0.79,0.0
8.39,0.29,0.11,140.0,12.11,310.0,5.49,0.22,0.2,1.11,0.52,0.2,0.0
8.45,0.47,0.18,210.0,10.48,409.0,4.88,0.45,0.29,1.05,0.11,0.7,0.0
8.1,0.88,0.29,218.0,17.01,290.0,5.52,0.22,0.41,1.0,0.75,0.47,0.0
8.08,0.79,0.47,209.0,16.09,201.0,4.92,0.18,0.47,1.07,0.11,0.52,0.0
8.05,0.29,0.53,199.0,17.05,318.0,7.98,0.4,0.11,1.29,0.75,0.48,0.0
8.08,0.35,0.41,200.0,16009.0,222.0,8.07,0.29,0.18,1.45,0.11,0.29,0.0
8.2,0.48,0.48,207.0,11.07,225.0,7.29,0.45,0.22,1.41,0.18,0.72,0.0
8.29,0.52,0.29,218.0,11.02,192.0,7.01,0.42,0.18,1.2,0.47,0.29,0.0
8.12,0.41,0.1,199.0,4.92,450.0,6.49,0.08,0.14,1.11,0.75,0.69,0.0
8.07,0.71,0.12,220.0,8.11,380.0,7.78,0.1,0.18,1.79,0.11,0.75,0.0
8.18,0.69,0.19,140.0,8.07,192.0,6.08,0.48,0.27,1.8,0.49,0.11,0.0
8.22,0.75,0.22,180.0,8.02,120.0,7.49,0.11,0.45,1.29,0.29,0.75,0.0
8.29,0.11,0.45,220.0,7.49,140.0,7.77,0.18,0.29,1.45,1.01,0.7,0.0
8.4,0.78,0.29,140.0,11.04,190.0,6.29,0.11,0.4,1.1,0.79,0.88,0.0
8.11,0.45,0.32,129.0,9.4,228.0,6.0,0.29,0.29,1.18,0.2,0.92,0.0
8.18,0.29,0.71,140.0,24.01,290.0,7.07,0.45,0.35,1.11,0.48,0.4,0.0
8.47,0.4,0.69,129.0,8.42,320.0,8.02,0.29,0.42,1.29,0.52,0.42,0.0
8.27,0.92,0.72,180.0,8.4,480.0,7.05,0.18,0.48,1.49,0.11,0.29,0.0
8.1,0.47,0.11,192.0,9.47,192.0,7.78,0.22,0.29,1.1,0.78,0.48,0.0
8.18,0.52,0.71,208.0,10.11,182.0,6.49,0.4,0.2,1.15,0.45,0.92,0.0
8.25,0.71,0.65,192.0,10.4,198.0,5.89,0.49,0.29,1.19,0.11,0.88,0.0
8.4,0.69,0.29,209.0,7.9,220.0,6.1,0.11,0.42,1.29,0.79,0.29,0.0
8.29,0.88,0.38,140.0,7.9,190.0,7.11,0.52,0.29,1.49,0.42,0.45,0.0
8.1,0.79,0.45,209.0,4.95,480.0,6.49,0.08,0.11,1.11,0.79,0.69,0.0
8.18,0.88,0.29,180.0,5.1,320.0,7.18,0.1,0.18,1.79,0.85,0.78,0.0
8.16,0.92,0.72,148.0,11.11,140.0,7.77,0.15,0.22,0.88,0.21,0.6,0.0
8.3,0.71,0.65,129.0,10.48,190.0,6.4,0.41,0.48,0.99,0.48,0.29,0.0
7.98,0.65,0.71,148.0,10.29,129.0,6.01,0.75,0.11,1.07,0.11,0.72,1.0
8.1,0.29,0.6,228.0,9.49,148.0,6.08,0.29,0.19,1.11,0.79,0.6,0.0
8.0,0.38,0.72,210.0,9.99,192.0,7.08,0.48,0.22,1.79,0.29,0.71,0.0
8.12,0.47,0.42,218.0,8.48,225.0,7.77,0.29,0.27,1.85,0.65,0.78,0.0
8.14,0.59,0.29,229.0,8.11,148.0,7.89,0.79,0.29,1.11,0.48,0.89,0.0
8.16,0.77,0.62,149.0,7.79,179.0,7.1,0.85,0.42,1.71,0.62,0.29,0.0
8.2,0.89,0.29,199.0,8.18,188.0,7.99,0.11,0.18,1.77,0.72,0.35,0.0
8.36,0.92,0.2,209.0,7.77,192.0,8.08,0.19,0.4,0.99,0.11,0.43,0.0
8.12,0.29,0.72,219.0,9.99,129.0,6.48,0.2,0.38,0.85,0.29,0.47,0.0
8.46,0.92,0.62,229.0,10.78,148.0,5.49,0.79,0.29,0.29,0.48,0.52,0.0
8.17,0.2,0.39,149.0,9.79,199.0,5.89,0.88,0.2,1.48,0.72,0.79,0.0
8.4,0.79,0.11,192.0,4.82,450.0,6.49,0.08,0.11,1.11,0.29,0.69,0.0
8.01,0.82,0.22,228.0,10.11,328.0,7.78,0.1,0.18,1.79,0.7,0.79,0.0
8.1,0.88,0.29,192.0,9.29,198.0,7.01,0.15,0.29,1.82,0.29,0.19,0.0
8.15,0.92,0.38,209.0,10.11,175.0,7.07,0.18,0.48,1.72,0.45,0.78,0.0
8.25,0.29,0.42,129.0,14.07,275.0,8.02,0.22,0.29,1.6,0.29,0.82,0.0
8.38,0.35,0.48,185.0,9.99,292.0,6.49,0.75,0.11,1.29,0.2,0.72,0.0
8.42,0.47,0.52,129.0,10.11,220.0,6.0,0.6,0.18,1.75,0.29,0.65,1.0
8.08,0.49,0.11,178.0,10.45,209.0,5.49,0.11,0.29,1.71,0.75,0.85,0.0
8.18,0.52,0.72,129.0,9.29,210.0,5.29,0.29,0.2,1.65,0.71,0.11,0.0
8.29,0.11,0.65,220.0,10.11,218.0,5.01,0.32,0.18,1.11,0.65,0.49,0.0
8.35,0.39,0.18,275.0,10.0,210.0,5.07,0.78,0.29,1.79,0.11,0.59,0.0
8.02,0.42,0.27,210.0,10.07,290.0,5.11,0.89,0.2,1.0,0.78,0.72,0.0
8.11,0.29,0.42,198.0,9.29,192.0,6.49,0.11,0.18,0.79,0.82,0.82,0.0
8.29,0.38,0.49,129.0,9.75,209.0,6.29,0.75,0.22,0.29,0.11,0.29,0.0
8.2,0.49,0.77,120.0,9.86,218.0,7.79,0.29,0.27,0.45,0.78,0.2,0.0
8.11,0.45,0.18,180.0,4.88,450.0,6.49,0.08,0.11,1.11,0.65,0.69,0.0
8.29,0.27,0.18,129.0,14.01,190.0,7.77,0.1,0.29,0.79,0.42,0.78,0.0
8.48,0.4,0.29,190.0,11.07,129.0,6.1,0.18,0.35,0.82,0.11,0.82,0.0
8.2,0.79,0.48,129.0,9.99,149.0,6.4,0.01,0.39,1.07,0.79,0.79,0.0
8.2,0.29,0.11,185.0,10.11,179.0,6.35,0.07,0.42,1.11,0.82,0.41,0.0
8.25,0.45,0.79,129.0,20.11,182.0,7.11,0.1,0.11,1.79,0.11,0.72,0.0
8.4,0.79,0.82,149.0,9.99,225.0,6.01,0.18,0.29,1.82,0.75,0.65,0.0
8.29,0.8,0.11,178.0,7.79,185.0,6.08,0.49,0.48,1.11,0.11,0.29,0.0
8.08,0.72,0.69,129.0,8.07,199.0,7.11,0.29,0.29,1.72,0.72,0.48,0.0
8.2,0.38,0.61,201.0,14.11,148.0,5.17,0.48,0.22,0.45,0.62,0.53,0.0
8.19,0.16,0.45,108.0,18.19,241.0,6.18,0.52,0.18,0.61,0.74,0.17,0.0
8.25,0.14,0.3,90.68,6.86,658.0,7.64,0.63,0.22,0.74,0.48,0.45,0.0
8.27,0.17,1.2,241.0,8.32,312.0,8.12,0.37,0.16,0.86,0.52,0.39,0.0
8.25,0.16,0.62,168.0,18.11,258.0,9.09,0.3,0.13,0.92,0.69,0.42,0.0
8.17,0.18,0.21,80.61,12.1,118.0,8.03,0.35,0.12,0.41,0.58,0.47,0.0
8.26,0.46,0.21,65.02,14.11,108.0,6.18,0.49,0.09,0.63,0.55,0.51,0.0
8.12,0.36,0.64,168.0,15.16,241.0,5.12,0.57,0.13,0.74,0.18,0.59,0.0
8.39,0.16,0.12,31.68,11.1,312.0,6.36,0.38,0.15,0.62,0.47,0.72,0.0
8.24,0.18,0.33,91.41,8.68,268.0,7.19,0.29,0.17,0.89,0.54,0.63,0.0
8.27,0.54,0.27,48.68,18.2,202.0,7.21,0.52,0.14,0.75,0.66,0.61,0.0
8.15,0.49,0.36,33.22,11.4,301.0,6.36,0.37,0.12,0.86,0.42,0.73,0.0
8.12,0.41,0.58,145.0,18.16,248.0,7.18,0.42,0.19,0.51,0.37,0.48,0.0
8.3,0.44,0.21,65.01,11.1,168.0,8.09,0.51,0.47,0.47,0.28,0.2,0.0
8.11,0.65,0.67,141.0,8.58,401.0,5.21,0.37,0.2,0.64,0.21,0.42,0.0
8.14,0.38,0.45,182.0,2.42,168.0,6.47,0.42,0.12,0.28,0.19,0.51,0.0
8.2,0.39,0.58,161.0,10.68,202.0,8.25,0.29,0.18,0.45,0.56,0.62,0.0
8.31,0.18,0.39,48.02,6.86,142.0,9.1,0.3,0.16,0.51,0.68,0.61,0.0
8.18,0.38,0.15,55.01,11.2,249.0,8.19,0.45,0.14,0.68,0.72,0.35,0.0
8.3,0.18,0.18,41.18,18.2,358.0,6.08,0.37,0.12,0.72,0.66,0.4,0.0
8.16,0.49,0.24,57.84,14.1,501.0,7.54,0.19,0.39,0.59,0.38,0.47,0.0
8.16,0.57,0.67,161.0,11.08,351.0,8.65,0.32,0.29,0.43,0.47,0.59,0.0
8.18,0.42,0.36,86.76,6.64,248.0,9.03,0.21,0.18,0.32,0.58,0.62,0.0
8.1,0.49,0.48,115.0,11.48,242.0,7.45,0.29,0.13,0.28,0.62,0.47,0.0
8.22,0.18,0.21,50.61,5.32,311.0,6.08,0.43,0.09,0.45,0.8,0.69,0.0
8.14,0.4,0.48,145.0,11.18,201.0,8.14,0.42,0.22,0.86,0.37,0.51,0.0
8.31,0.18,0.15,36.15,20.18,358.0,7.36,0.54,0.18,0.32,0.63,0.73,0.0
8.14,0.48,0.27,65.07,14.11,401.0,6.41,0.81,0.19,0.47,0.74,0.56,0.0
8.23,0.24,0.33,79.53,11.08,412.0,5.64,0.62,0.14,0.54,0.86,0.47,0.0
8.23,0.21,0.12,28.92,73.2,358.0,6.89,0.47,0.29,0.69,0.35,0.53,0.0
8.2,0.39,0.48,115.0,25.18,249.0,7.02,0.69,0.16,0.58,0.47,0.64,0.0
8.12,0.43,0.24,57.84,18.68,165.0,8.25,0.76,0.1,0.38,0.52,0.49,0.0
8.3,0.53,0.15,36.15,11.09,181.0,6.03,0.94,0.12,0.3,0.64,0.56,0.0
820.0,0.45,0.3,72.3,12.1,248.0,7.21,0.3,0.14,0.42,0.73,0.67,0.0
831.0,0.2,0.18,43.38,3.29,218.0,8.02,0.28,0.16,0.67,0.42,0.46,0.0
8.33,0.16,0.55,132.0,8.68,118.0,5.49,0.31,0.09,0.72,0.37,0.59,0.0
8.27,0.28,0.21,50.61,15.11,219.0,6.12,0.47,0.12,0.84,0.5,0.78,0.0
8.3,0.6,0.12,28.92,19.89,351.0,7.18,0.53,0.16,0.62,0.47,0.29,0.0
8.25,0.6,0.18,43.38,20.01,410.0,8.0,0.67,0.31,0.54,0.33,0.38,0.0
8.22,0.7,0.39,93.99,18.48,201.0,8.75,0.7,0.14,0.6,0.42,0.57,0.0
